idx,total_jobs,dataset_base,algorithm,rho,num_clients,seed,run_ordinal,target_runs,dataset,status,exit_code,start_utc,end_utc,run_log,complete_before,complete_after,latest_complete_acc_csv
50,170,Cifar10,FedBN,0.8,50,3,3,3,Cifar10_splitgp_pat_rho0.8_nc50,ok,0,2026-06-13T15:15:53Z,2026-06-13T16:02:57Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/50_Cifar10_FedBN_rho0p8_nc50_seed3_run3.log,1,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedBN/GM_VGG8/splitgp_rho0.8/NC_50/date_20260613/time_151555/acc.csv
51,170,Cifar10,FedCross,0.0,50,2,2,3,Cifar10_splitgp_pat_rho0.0_nc50,ok,0,2026-06-13T15:58:03Z,2026-06-13T17:58:10Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/51_Cifar10_FedCross_rho0p0_nc50_seed2_run2.log,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedCross/GM_VGG8/splitgp_rho0.0/NC_50/date_20260613/time_155805/acc.csv
52,170,Cifar10,FedCross,0.0,50,3,3,3,Cifar10_splitgp_pat_rho0.0_nc50,ok,0,2026-06-13T16:02:57Z,2026-06-13T18:03:31Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/52_Cifar10_FedCross_rho0p0_nc50_seed3_run3.log,1,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedCross/GM_VGG8/splitgp_rho0.0/NC_50/date_20260613/time_160259/acc.csv
53,170,Cifar10,FedCross,0.2,50,2,2,3,Cifar10_splitgp_pat_rho0.2_nc50,ok,0,2026-06-13T17:58:10Z,2026-06-13T19:57:11Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/53_Cifar10_FedCross_rho0p2_nc50_seed2_run2.log,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedCross/GM_VGG8/splitgp_rho0.2/NC_50/date_20260613/time_175812/acc.csv
54,170,Cifar10,FedCross,0.2,50,3,3,3,Cifar10_splitgp_pat_rho0.2_nc50,ok,0,2026-06-13T18:03:31Z,2026-06-13T20:02:33Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/54_Cifar10_FedCross_rho0p2_nc50_seed3_run3.log,1,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedCross/GM_VGG8/splitgp_rho0.2/NC_50/date_20260613/time_180333/acc.csv
55,170,Cifar10,FedCross,0.4,50,2,2,3,Cifar10_splitgp_pat_rho0.4_nc50,ok,0,2026-06-13T19:57:11Z,2026-06-13T21:56:36Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/55_Cifar10_FedCross_rho0p4_nc50_seed2_run2.log,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedCross/GM_VGG8/splitgp_rho0.4/NC_50/date_20260613/time_195713/acc.csv
56,170,Cifar10,FedCross,0.4,50,3,3,3,Cifar10_splitgp_pat_rho0.4_nc50,ok,0,2026-06-13T20:02:33Z,2026-06-13T22:01:56Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/56_Cifar10_FedCross_rho0p4_nc50_seed3_run3.log,1,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedCross/GM_VGG8/splitgp_rho0.4/NC_50/date_20260613/time_200236/acc.csv
57,170,Cifar10,FedCross,0.6,50,2,2,3,Cifar10_splitgp_pat_rho0.6_nc50,ok,0,2026-06-13T21:56:36Z,2026-06-13T23:54:52Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/57_Cifar10_FedCross_rho0p6_nc50_seed2_run2.log,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedCross/GM_VGG8/splitgp_rho0.6/NC_50/date_20260613/time_215638/acc.csv
58,170,Cifar10,FedCross,0.6,50,3,3,3,Cifar10_splitgp_pat_rho0.6_nc50,ok,0,2026-06-13T22:01:56Z,2026-06-14T00:00:17Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/58_Cifar10_FedCross_rho0p6_nc50_seed3_run3.log,1,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedCross/GM_VGG8/splitgp_rho0.6/NC_50/date_20260613/time_220159/acc.csv
59,170,Cifar10,FedCross,0.8,50,2,2,3,Cifar10_splitgp_pat_rho0.8_nc50,ok,0,2026-06-13T23:54:52Z,2026-06-14T01:53:33Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/59_Cifar10_FedCross_rho0p8_nc50_seed2_run2.log,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedCross/GM_VGG8/splitgp_rho0.8/NC_50/date_20260613/time_235454/acc.csv
60,170,Cifar10,FedCross,0.8,50,3,3,3,Cifar10_splitgp_pat_rho0.8_nc50,ok,0,2026-06-14T00:00:17Z,2026-06-14T01:59:19Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/60_Cifar10_FedCross_rho0p8_nc50_seed3_run3.log,1,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedCross/GM_VGG8/splitgp_rho0.8/NC_50/date_20260614/time_000019/acc.csv
